sp	temp_incu	gp	count
Boli_infu	10	-0.98	0
Boli_infu	10	-0.96	0
Boli_infu	10	-0.94	0
Boli_infu	10	-0.92	0
Boli_infu	10	-0.9	0
Boli_infu	10	-0.88	0
Boli_infu	10	-0.86	0
Boli_infu	10	-0.84	0
Boli_infu	10	-0.82	0
Boli_infu	10	-0.8	0
Boli_infu	10	-0.78	0
Boli_infu	10	-0.76	0
Boli_infu	10	-0.74	0
Boli_infu	10	-0.72	0
Boli_infu	10	-0.7	0
Boli_infu	10	-0.68	0
Boli_infu	10	-0.66	0
Boli_infu	10	-0.64	0
Boli_infu	10	-0.62	0
Boli_infu	10	-0.6	0
Boli_infu	10	-0.58	0
Boli_infu	10	-0.56	0
Boli_infu	10	-0.54	0
Boli_infu	10	-0.52	0
Boli_infu	10	-0.5	0
Boli_infu	10	-0.48	0
Boli_infu	10	-0.46	0
Boli_infu	10	-0.44	0
Boli_infu	10	-0.42	0
Boli_infu	10	-0.4	0
Boli_infu	10	-0.38	0
Boli_infu	10	-0.36	0
Boli_infu	10	-0.34	0
Boli_infu	10	-0.32	0
Boli_infu	10	-0.3	0
Boli_infu	10	-0.28	0
Boli_infu	10	-0.26	0
Boli_infu	10	-0.24	0
Boli_infu	10	-0.22	0
Boli_infu	10	-0.2	0
Boli_infu	10	-0.18	0
Boli_infu	10	-0.16	0
Boli_infu	10	-0.14	0
Boli_infu	10	-0.12	0
Boli_infu	10	-0.1	0
Boli_infu	10	-0.08	0
Boli_infu	10	-0.06	0
Boli_infu	10	-0.04	0
Boli_infu	10	-0.02	0
Boli_infu	10	0	0
Boli_infu	10	0.02	0
Boli_infu	10	0.04	0
Boli_infu	10	0.06	0
Boli_infu	10	0.08	0
Boli_infu	10	0.1	0
Boli_infu	10	0.12	0
Boli_infu	10	0.14	3
Boli_infu	10	0.16	4
Boli_infu	10	0.18	11
Boli_infu	10	0.2	6
Boli_infu	10	0.22	13
Boli_infu	10	0.24	25
Boli_infu	10	0.26	32
Boli_infu	10	0.28	68
Boli_infu	10	0.3	102
Boli_infu	10	0.32	145
