cnum	sn2	sn1	press_sim	comp
10	0.07766903192	0.1042390168	500	18:1/18:1 PE
11	0.1140916497	0.1048194245	500	18:1/18:1 PE
12	0.171538204	0.1574570686	500	18:1/18:1 PE
13	0.1785613149	0.1592893749	500	18:1/18:1 PE
14	0.1824055463	0.1636917144	500	18:1/18:1 PE
15	0.1637053192	0.1424625069	500	18:1/18:1 PE
16	0.1475791186	0.1299507767	500	18:1/18:1 PE
17	0.1126802266	0.09607963264	500	18:1/18:1 PE
18	0.03884223849	0.03583360836	500	18:1/18:1 PE
3	0.2256341577	0.2059446573	750	18:1/18:1 PE
4	0.2300115675	0.2303678989	750	18:1/18:1 PE
5	0.2467542291	0.2368477136	750	18:1/18:1 PE
6	0.2274907529	0.2328314185	750	18:1/18:1 PE
7	0.2190057784	0.2126555741	750	18:1/18:1 PE
8	0.1274738014	0.1564491838	750	18:1/18:1 PE
9	0.07845893502	0.112542592	750	18:1/18:1 PE
10	0.07715589553	0.1019788161	750	18:1/18:1 PE
11	0.115550898	0.1047470048	750	18:1/18:1 PE
12	0.171996668	0.1582559645	750	18:1/18:1 PE
13	0.1784415841	0.1617406905	750	18:1/18:1 PE
14	0.182301864	0.1665479988	750	18:1/18:1 PE
15	0.1636026651	0.1454590112	750	18:1/18:1 PE
16	0.1473329216	0.1332275867	750	18:1/18:1 PE
17	0.1126474962	0.09901973605	750	18:1/18:1 PE
18	0.03842718154	0.03711815923	750	18:1/18:1 PE
3	0.2307399064	0.2109075189	1000	18:1/18:1 PE
4	0.2357355952	0.2361415923	1000	18:1/18:1 PE
5	0.2528114915	0.242244944	1000	18:1/18:1 PE
6	0.2332139611	0.2382781208	1000	18:1/18:1 PE
7	0.2244998068	0.2169383466	1000	18:1/18:1 PE
8	0.1327587515	0.1597479433	1000	18:1/18:1 PE
9	0.08491262048	0.115590103	1000	18:1/18:1 PE
10	0.07575294375	0.1023014411	1000	18:1/18:1 PE
11	0.1141574159	0.1044158936	1000	18:1/18:1 PE
12	0.1734621525	0.1581020653	1000	18:1/18:1 PE
13	0.181090951	0.1608333737	1000	18:1/18:1 PE
14	0.185227409	0.1664378643	1000	18:1/18:1 PE
15	0.1671241671	0.14637281	1000	18:1/18:1 PE
16	0.1508474052	0.1342213303	1000	18:1/18:1 PE
17	0.115662463	0.1000324786	1000	18:1/18:1 PE
18	0.04004862159	0.0377375409	1000	18:1/18:1 PE
3	0.262144208	0.248691678	1500	18:1/18:1 PE
4	0.267827332	0.2726897001	1500	18:1/18:1 PE
5	0.2887543142	0.283844918	1500	18:1/18:1 PE
6	0.2725748718	0.2830043137	1500	18:1/18:1 PE
7	0.2640416026	0.2645789385	1500	18:1/18:1 PE
8	0.161065191	0.1966723353	1500	18:1/18:1 PE
9	0.1050371602	0.1320492327	1500	18:1/18:1 PE
10	0.11176157	0.1323729157	1500	18:1/18:1 PE
11	0.1722233146	0.1629594862	1500	18:1/18:1 PE
12	0.2496300042	0.2343476415	1500	18:1/18:1 PE
13	0.2623234689	0.2426098287	1500	18:1/18:1 PE
14	0.2675427496	0.2474914193	1500	18:1/18:1 PE
15	0.2508085966	0.2239550501	1500	18:1/18:1 PE
16	0.2302537709	0.2026352137	1500	18:1/18:1 PE
17	0.1810062677	0.1485166997	1500	18:1/18:1 PE
18	0.06839557737	0.05744623393	1500	18:1/18:1 PE
3	0.1424129158	0.19680053	0	18:0/20:4 PE
4	0.06292832643	0.2335161865	0	18:0/20:4 PE
5	-0.001750725671	0.2377567738	0	18:0/20:4 PE
6	0.1001507044	0.2503764629	0	18:0/20:4 PE
7	0.05017857626	0.2436439693	0	18:0/20:4 PE
