N	Nu	chi2	comment	d	dof	eta1	offs	q	rhor	scal	sigC	sigH	zH	shot	time	N_err	Nu_err	d_err	eta1_err	offs_err	rhor_err	scal_err	sigC_err	zH_err
36.047232335737135	6.9562141372774926e-06	626414.8923725409	[]	63.65685225166231	491.0	0.639997766649062	0.1983089206565113	@->X	-2.215490918325416	-5.5635680515568924e-08	2.0375904032918486	3.0	2.102646122243057	S3_PEO_16C_000MPa_X3_Y0_mcg.par	20220202 152205	6217.830896622548	49.37699852391983	32.93293825176586	6.356721699077396	0.005391876083433	61.648569359423966	3.160232525049752e-05	234.67161338872148	439.6744478305017
2.00000113780663	0.0857978010748054	487839.6602894565	[]	3775.075445106299	491.0	0.723228006850202	0.4046469685639713	@->X	-2.0516899587859663	3.7505372962429342e-06	4.104562726794083	3.0	5.607678685746303	S3_PEO_12C_044MPa_X2_Y2_mcg.par	20220202 152202									
2.0000032101269265	6.860555118510286	457842.2018440391	[]	64.84924537339093	491.0	0.2924100610755155	0.2173200000621721	@->X	-1.255641169852687	-1.2648747016077524e-07	0.2502911865426571	3.0	13.402212130956238	S3_PEO_16C_133MPa_X3_Y6_mcg.par	20220202 152203	18.96503302245185	114.8413571659155	172.8494767123109	6.7853852580151255	0.0025739108462188	3593.03118743208	1.8601162799196015e-06	718.3118701693508	3.713927775463144
28.881567710389017	0.0002393662317423	439819.2081881794	[]	3778.4082852743054	491.0	0.5197142187957203	0.2194682365773305	@->X	-0.660916352293984	-3.9331073694099623e-08	9.877242736179662	3.0	7.167682117305548	S3_PEO_08C_111MPa_X1_Y5_mcg.par	20220202 152719									
31.479741349825023	2.0689270659991235	420408.8441871864	[]	149.9999810707278	491.0	0.0286091525347719	0.2237336763393987	@->X	-2.8777562351136603	-3.55936699027078e-07	1.8386618797647272	3.0	-2.852601440887629	S3_PEO_08C_177MPa_X1_Y8_mcg.par	20220202 155611	366.919317620705	57.14806838092587	5.869492420278521	0.04228234710004	0.0120164944803252	15.654834587635682	9.020131204391503e-06	12.736093864916851	20.608093932952823
37.1454044610656	8.24536659797359e-06	310867.69833657885	[]	129.16452197017048	491.0	0.0655978384412629	0.2908472959964804	@->X	-3.286947547318701	-7.528225903257738e-06	1.7564671825213811	3.0	-0.0007691115858169	S3_PEO_08C_200MPa_X1_Y9_mcg.par	20220202 155626	118.84902492199708	13.782099318614195	2.837820611607878	0.025341220745468	0.0111697179932278	0.6134034096240281	2.398204232391297e-05	0.3358846377289329	906.8116365120068
2.0000081282547155	5.280812684290587	276252.97794369044	[]	5630.314732340267	491.0	0.7303453087603576	0.2144347111594318	@->X	-6.978296018918822	3.8554706918966554e-08	-1.3246021932472198	3.0	-0.000130561143909	S3_PEO_08C_044MPa_X1_Y2_mcg.par	20220202 152235									
29.9549109526628	16.605035088204026	237294.32289597517	[]	2383.2140639533063	491.0	0.6842725243756758	0.3779786625394218	@->X	-9.672214282291169	-2.4915754557203088e-06	0.6088767918006556	3.0	1.413782431712481	S3_PEO_08C_000MPa_X1_Y0_mcg.par	20220202 152418									
12.429825581035423	8.912471787620866	224299.3046682009	[]	3774.8785339754577	491.0	0.7068594099034997	0.362731837106488	@->X	-8.634302728863405	-5.535389842522252e-06	0.6867472101551	3.0	1.1214922438196755	S3_PEO_08C_022MPa_X1_Y1_mcg.par	20220202 152308									
34.73672729890217	3.474163872670262e-06	223240.92363871203	[]	74.22802751558419	491.0	0.7395337997759174	0.1726798795577572	@->X	-1.6791150741752825	3.238850660930235e-07	5.037631966400667	3.0	7.172360769698725	S3_PEO_16C_177MPa_X3_Y8_mcg.par	20220202 152240	141.2336672638277	3.715460521135664	0.7884148725603427	0.1698362373727984	0.0030393214678518	1.3057202022259706	1.3379311883841548e-06	3.096395913598533	1.379060842019533
2.0000029787421667	20.47558705541447	201759.6755894015	[]	68.85877301431432	491.0	0.7374626106705132	0.1962203024592381	@->X	-0.4841135502810625	2.053453999685555e-06	13.902571236459062	3.0	6.852109484049515	S3_PEO_16C_066MPa_X3_Y3_mcg.par	20220202 152133	13.998193223471336	784.1486172425132	94.28001033228178	15.53885490061806	0.0021547448019169	0.0115410403319055	7.259328327542216e-05	1.1329403673700178	0.1080961271586486
35.610518123715984	3.3940281695650646e-06	151799.07495614345	[]	77.0732788964597	491.0	0.7795215954305669	0.1843210595733293	@->X	-3.728048793840116	2.401167829662351e-07	2.4252078059586366	3.0	3.525091040761334	S3_PEO_16C_200MPa_X3_Y9_mcg.par	20220202 152350	135.36425695903375	3.318292466244241	0.848109369002181	0.1611201885426594	0.0194296205822075	41.446883593805765	8.169152302448582e-06	13.041558407379686	25.10866270670363
18.71681441643635	9.92996400592122e-06	147614.2139473868	[]	63.80922611499766	491.0	0.6435190152430814	0.1944901197793839	@->X	-1.433970184425028	2.771742318362318e-06	5.241022754658083	3.0	5.066625639981041	S3_PEO_16C_022MPa_X3_Y1_mcg.par	20220202 152155	10.283457335625616	1.159773136278741	0.4076525737299456	0.0744359178761849	0.0047907407316011	0.1187666264772502	2.754355843720386e-06	0.8537880740249203	1.1865112036773846
