N	N_err	Nu	Nu_err	chi2	comment	d	d_err	dof	eta1	eta1_err	offs	offs_err	q	rhor	rhor_err	scal	scal_err	sigC	sigC_err	sigH	zH	zH_err	shot	time
24.8285083626811	54.30658683231066	1.7366952246285038e-06	3.967467733134758	2041130.626836186	[]	93.14677651319268	1.0649489147385722	491.0	0.1237485407565018	0.0286697012875828	0.0352409440260684	0.0369722481579555	@->X	-2.212525876365619	3.348290374658304	3.6626440248657464e-06	1.638190327905985e-05	2.3865215226814174	4.352630486233213	3.0	4.568787751457742	4.135339090794361	S3_PEO_16C_177MPa_X3_Y8_mcg.par	20220202 145637
24.55589827408294	42.449635417930686	6.410396921167168e-07	1.5711869468585835	1988825.4189025592	[]	82.91884459668933	0.935530481707402	491.0	0.1606175320847445	0.0396317832441648	0.0590450885233567	0.0333608440800063	@->X	-1.9893234792396293	3.3791044624745163	2.565340818736221e-06	9.714751912310673e-06	2.455160845696783	5.272254888146077	3.0	5.289906876886903	3.8990687989619706	S3_PEO_16C_088MPa_X3_Y4_mcg.par	20220202 145731
24.917003420933305	243.9719676321847	4.786257351103343e-07	1.1725892761225811	1975114.8061209216	[]	125.5892743258804	7.524521557559519	491.0	0.1384867979752383	0.1119300226970032	0.0787111253188303	0.0243921671883613	@->X	-1.9409700005189616	3.9926621375841775	1.3246742537938648e-06	1.3743150584158888e-05	2.634461364788389	6.327530371998266	3.0	6.3051622104463005	4.046501151524298	S3_PEO_08C_044MPa_X1_Y2_mcg.par	20220202 145607
24.8543434032822	64.74830320840304	1.2253146665232705e-06	3.135067481782509	1869526.2800636748	[]	93.97217863995655	1.3686025428551492	491.0	0.1435695964658368	0.0425199088919384	0.0591775134071707	0.0322114809048799	@->X	-1.990088592861361	3.900344754435521	2.519194935018593e-06	1.3045365036725776e-05	2.58427345427474	6.169088408084227	3.0	5.189522825637234	4.72575959552034	S3_PEO_16C_200MPa_X3_Y9_mcg.par	20220202 145720
24.234053974117035	41.58022754225578	8.02576727338214e-07	2.3062183721938547	1742328.5135700149	[]	85.83303645358393	0.903321392292551	491.0	0.1456139674375594	0.0323233218129653	0.0919661506000835	0.0156574894231588	@->X	-1.4354763467355198	3.5977313495249263	1.52048948932307e-06	7.860320967808624e-06	3.221589308023057	10.591129287131851	3.0	6.627831759913299	4.596851428166161	S3_PEO_16C_111MPa_X3_Y5_mcg.par	20220202 145730
23.92254834772448	36.42661416039594	2.0401574885133006e-06	4.791994503558982	1702142.9763951628	[]	81.56452247605608	0.8223467124212828	491.0	0.1555035237931355	0.036527732847036	0.0964353309332715	0.0173514870371011	@->X	-1.4809359535286426	3.15948353001331	1.555390958416363e-06	6.556258232095846e-06	3.005868482545337	8.60931895234599	3.0	6.545046356459605	4.087965319608819	S3_PEO_16C_066MPa_X3_Y3_mcg.par	20220202 145716
24.322357301175337	47.28035216826948	1.118235548252727e-07	0.4838444646706636	1700083.240187802	[]	87.09521372469014	1.0139100919031314	491.0	0.1450395124987981	0.0333597959105895	0.0920004898957032	0.0153305100156709	@->X	-1.4257816097974487	3.990898283551298	1.5497136812980956e-06	9.277812608509876e-06	3.3082079387945504	12.0215853906444	3.0	6.574858995933628	4.999049405202484	S3_PEO_16C_133MPa_X3_Y6_mcg.par	20220202 145714
20.117658308771784	16.996955776128797	1.6197718365904523e-06	2.0707972815246296	1535420.3177015996	[]	79.74523960155453	0.5678748636150476	491.0	0.1381617488867193	0.0261861959101521	0.3798810174058995	0.0080853355602541	@->X	-1.512397441399422	2.795494682266823	6.058321735322487e-07	9.722831332524852e-07	2.3986239187923006	5.640174720303643	3.0	7.627672489581035	2.2513419136010038	S3_PEO_12C_022MPa_X2_Y1_mcg.par	20220202 145643
24.395524751110155	53.72521751574282	8.879629696370977e-07	2.3509387460643514	1510933.7738271996	[]	88.3129138360206	1.1502566272988486	491.0	0.1520163300643724	0.0404892455216886	0.0960694118332675	0.0173459678349569	@->X	-1.502642048623156	4.466367928977119	1.7295345385967024e-06	1.2159781799793743e-05	3.223247615762103	12.34404126700387	3.0	6.187638741118668	5.640050433778604	S3_PEO_16C_155MPa_X3_Y7_mcg.par	20220202 145636
24.871501912864208	70.10323407388933	9.003941358267104e-07	2.138239471455726	1217038.1653317013	[]	100.824199750893	2.118764687871052	491.0	0.1575282811141071	0.0822899682450788	0.1009519450686782	0.0293471247398309	@->X	-1.991669046217444	5.100523623935492	3.851907856317749e-06	4.240608111628472e-05	2.730194974177436	8.611118698639928	3.0	4.220786134245736	8.229268281355251	S3_PEO_08C_022MPa_X1_Y1_mcg.par	20220202 145607
