P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
250.0	250.0	0.97	5.95	0.53	0	True	20220616 135856	8.5	55.0	17.5	0.233	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2479	33.80687117576599	440.0	410.0
250.0	250.0	0.98	5.96	0.53	0	True	20220616 135856	8.5	55.0	17.5	-0.351	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2478	34.081770181655884	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135856	8.5	55.0	17.5	-0.639	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2477	34.35499906539917	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135857	8.5	55.0	17.5	0.243	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2476	34.639100074768066	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135857	8.5	55.0	17.5	0.136	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2475	34.92086887359619	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135857	8.5	55.0	17.5	0.221	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2474	35.190640926361084	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135857	8.5	55.0	17.5	1.283	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2473	35.4654438495636	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135858	8.5	55.0	17.5	-0.136	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2473	35.75590896606445	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135858	8.5	55.0	17.5	1.034	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2471	36.040852069854736	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135858	8.5	55.0	17.5	-0.093	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2471	36.33318209648132	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135859	8.5	55.0	17.5	-0.239	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.247	36.60075807571411	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135859	8.5	55.0	17.5	0.245	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2468	36.867840051651	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135859	8.5	55.0	17.5	0.132	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2467	37.14480900764465	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135859	8.5	55.0	17.5	0.868	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2466	37.418532848358154	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135901	8.5	55.0	17.5	315.15	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2465	39.20862126350403	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135901	8.5	55.0	17.5	312.287	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2465	39.40795302391052	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135902	8.5	55.0	17.5	309.182	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2464	39.96612524986267	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135902	8.5	55.0	17.5	316.986	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2463	40.41758608818054	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135903	8.5	55.0	17.5	341.059	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2463	40.93862724304199	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135903	8.5	55.0	17.5	307.892	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2463	41.45120811462402	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135904	8.5	55.0	17.5	325.419	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	30	100.2463	41.973947048187256	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135909	8.5	55.0	17.5	325.419	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2463	46.51181507110596	490	410
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135909	8.5	55.0	17.5	212.98	21.43	7.59	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2457	46.51205515861511	490.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135909	8.4	55.0	17.4	226.189	21.43	7.29	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2457	46.76894283294678	490.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135909	8.4	55.0	17.4	207.869	21.43	7.29	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2457	47.3292932510376	490.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135910	8.4	55.0	17.4	227.541	21.43	7.29	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2457	47.94701409339905	490.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135911	8.4	55.0	17.4	220.501	21.43	7.29	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2457	48.49205303192139	490.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135911	8.5	55.0	17.5	237.481	21.41	7.15	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	37	0	100.2457	49.110634088516235	490.0	410.0
250.0	250.0	0.97	5.94	0.52	0	True	20220616 135916	8.5	55.0	17.5	237.481	21.41	7.15	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2457	54.019564151763916	440	340
250.0	250.0	0.97	5.94	0.52	0	True	20220616 135916	8.5	55.0	17.5	723.771	21.41	7.15	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2453	54.01980400085449	440.0	340.0
250.0	250.0	0.97	5.94	0.52	0	True	20220616 135916	8.5	55.0	17.5	724.851	21.41	7.15	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2453	54.42940902709961	440.0	340.0
250.0	250.0	0.97	5.94	0.52	0	True	20220616 135917	8.5	55.0	17.5	676.297	21.43	7.73	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2453	55.024178981781006	440.0	340.0
250.0	250.0	0.97	5.94	0.52	0	True	20220616 135918	8.5	55.0	17.5	737.096	21.43	7.73	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2453	55.59866714477539	440.0	340.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135918	8.5	55.0	17.5	712.142	21.43	7.73	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2452	56.07398509979248	440.0	340.0
250.0	250.0	0.96	5.95	0.51	0	True	20220616 135919	8.5	55.0	17.5	722.589	21.43	7.73	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2452	56.64164423942566	440.0	340.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135924	8.5	55.0	17.5	722.589	21.43	7.73	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.2452	61.91405391693115	490	340
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135924	8.5	55.0	17.5	332.942	21.43	7.73	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.245	61.91471004486084	490.0	340.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135924	8.6	55.0	17.6	311.495	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.245	62.457700967788696	490.0	340.0
250.0	250.0	0.96	5.94	0.51	0	True	20220616 135925	8.6	55.0	17.6	351.175	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.245	62.930535078048706	490.0	340.0
250.0	250.0	0.96	5.94	0.51	0	True	20220616 135925	8.6	55.0	17.6	316.142	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.245	63.470147132873535	490.0	340.0
250.0	250.0	0.96	5.94	0.51	0	True	20220616 135926	8.6	55.0	17.6	295.294	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.245	64.07907199859619	490.0	340.0
250.0	250.0	0.96	5.94	0.51	0	True	20220616 135927	8.6	55.0	17.6	322.89	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	True	3	3	38	0	100.245	64.68050408363342	490.0	340.0
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135932	8.6	55.0	17.6	322.89	21.43	7.33	tdir:up_pdir:dn_rep:1_cyc:0	7	True	3	3	39	0	100.245	70.37664699554443	440	410
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135932	8.6	55.0	17.6	308.415	21.43	7.33	tdir:up_pdir:dn_rep:1_cyc:0	7	True	3	3	39	0	100.2446	70.37694692611694	440.0	410.0
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135933	8.4	54.0	17.6	327.804	21.45	7.33	tdir:up_pdir:dn_rep:1_cyc:0	7	True	3	3	39	0	100.2446	70.85939407348633	440.0	410.0
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135933	8.4	54.0	17.6	286.321	21.45	7.33	tdir:up_pdir:dn_rep:1_cyc:0	7	True	3	3	39	0	100.2446	71.4583089351654	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135934	8.4	54.0	17.6	329.711	21.45	7.33	tdir:up_pdir:dn_rep:1_cyc:0	7	True	3	3	39	0	100.2446	72.13167810440063	440.0	410.0
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135935	8.4	54.0	17.6	339.678	21.45	7.33	tdir:up_pdir:dn_rep:1_cyc:0	7	True	3	3	39	0	100.2445	72.68324112892151	440.0	410.0
